DeepMimic: obs=128 act=29 clip=261.3s  max_steps=13067
iter  176 | ep_len   50.2 | ep_ret    26.66 | pi -0.148 | v 1.114 | ent 42.49 | std 1.048
iter  177 | ep_len   51.0 | ep_ret    27.02 | pi -0.179 | v 1.463 | ent 42.59 | std 1.052
iter  178 | ep_len   51.5 | ep_ret    27.59 | pi -0.031 | v 1.326 | ent 42.69 | std 1.056
iter  179 | ep_len   50.4 | ep_ret    26.65 | pi -0.147 | v 0.946 | ent 42.80 | std 1.060
iter  180 | ep_len   47.1 | ep_ret    24.97 | pi -0.156 | v 0.638 | ent 42.94 | std 1.065
iter  181 | ep_len   56.1 | ep_ret    30.24 | pi -0.157 | v 1.007 | ent 43.04 | std 1.068
iter  182 | ep_len   48.8 | ep_ret    25.37 | pi -0.071 | v 0.753 | ent 43.08 | std 1.070
iter  183 | ep_len   55.9 | ep_ret    30.43 | pi -0.211 | v 1.270 | ent 43.17 | std 1.073
iter  184 | ep_len   53.1 | ep_ret    28.68 | pi -0.185 | v 1.370 | ent 43.27 | std 1.077
iter  185 | ep_len   48.3 | ep_ret    25.52 | pi -0.204 | v 0.873 | ent 43.39 | std 1.082
iter  186 | ep_len   50.8 | ep_ret    27.17 | pi -0.139 | v 0.906 | ent 43.53 | std 1.087
iter  187 | ep_len   49.5 | ep_ret    26.29 | pi -0.169 | v 0.809 | ent 43.68 | std 1.092
iter  188 | ep_len   55.2 | ep_ret    29.44 | pi -0.048 | v 1.250 | ent 43.79 | std 1.097
iter  189 | ep_len   52.6 | ep_ret    27.97 | pi -0.142 | v 0.864 | ent 43.85 | std 1.099
iter  190 | ep_len   48.0 | ep_ret    25.30 | pi -0.187 | v 0.877 | ent 43.94 | std 1.102
iter  191 | ep_len   52.6 | ep_ret    27.78 | pi -0.127 | v 1.001 | ent 44.05 | std 1.106
iter  192 | ep_len   56.1 | ep_ret    29.76 | pi -0.022 | v 1.255 | ent 44.14 | std 1.110
iter  193 | ep_len   46.2 | ep_ret    24.32 | pi -0.061 | v 0.744 | ent 44.23 | std 1.113
iter  194 | ep_len   51.6 | ep_ret    27.65 | pi -0.162 | v 1.110 | ent 44.35 | std 1.118
iter  195 | ep_len   51.2 | ep_ret    27.46 | pi -0.162 | v 1.171 | ent 44.45 | std 1.122
